image_name,tags
test_493,clear primary agriculture
test_494,clear primary
test_495,clear primary
test_496,primary partly_cloudy
test_497,clear primary road agriculture
test_498,clear primary
test_499,clear primary
test_500,clear primary
test_501,clear primary
test_502,clear primary
test_503,clear primary agriculture
test_504,primary partly_cloudy
test_505,clear primary road agriculture
test_506,clear primary
test_507,primary haze
test_508,clear primary road agriculture
test_509,clear primary
test_510,clear primary artisinal_mine water
test_511,clear primary road agriculture
test_512,primary
test_513,clear primary
test_514,primary partly_cloudy
test_515,primary partly_cloudy
test_516,clear primary
test_517,clear primary road agriculture
test_518,primary water partly_cloudy
test_519,primary haze water
test_520,cloudy
test_521,primary partly_cloudy
test_522,clear primary road agriculture
test_523,primary partly_cloudy
test_524,primary haze
test_525,clear primary
test_526,clear primary road habitation agriculture
test_527,clear primary
test_528,clear primary road agriculture
test_529,primary partly_cloudy
test_530,primary road agriculture
test_531,clear primary water
test_532,clear primary
test_533,clear primary
test_534,clear primary
test_535,clear primary
test_536,clear primary water
test_537,primary partly_cloudy
test_538,clear primary
test_539,primary agriculture partly_cloudy
test_540,clear primary water
test_541,clear primary road agriculture
test_542,clear primary water
test_543,clear primary
test_544,clear primary road habitation agriculture
test_545,clear primary
test_546,clear primary agriculture water
test_547,clear primary
test_548,primary partly_cloudy
test_549,primary haze water
test_550,clear primary agriculture
test_551,primary road habitation agriculture partly_cloudy
test_552,clear primary
test_553,primary road water
test_554,clear primary
test_555,primary haze
test_556,cloudy water
test_557,clear primary
test_558,primary agriculture water partly_cloudy
test_559,clear primary
test_560,clear primary
test_561,primary partly_cloudy
test_562,clear primary agriculture
test_563,clear primary agriculture
test_564,clear primary road habitation
test_565,primary partly_cloudy
test_566,clear primary
test_567,primary partly_cloudy
test_568,clear primary road habitation
test_569,clear primary
test_570,primary partly_cloudy
test_571,clear primary
test_572,primary agriculture partly_cloudy
test_573,clear primary agriculture
test_574,clear primary
test_575,clear primary
test_576,clear primary
test_577,clear primary
test_578,primary haze
test_579,clear primary
test_580,clear primary road agriculture
test_581,clear primary road
test_582,clear primary
test_583,clear primary road agriculture water
test_584,clear primary
test_585,clear primary water
test_586,clear primary water
test_587,clear primary road agriculture
test_588,clear primary
test_589,primary partly_cloudy
test_590,clear primary
test_591,clear primary road agriculture
test_592,clear primary road habitation agriculture
test_593,clear primary
test_594,clear primary water
test_595,primary partly_cloudy
test_596,clear primary artisinal_mine water
test_597,primary cultivation agriculture partly_cloudy
test_598,primary partly_cloudy
test_599,clear primary
test_600,clear primary
test_601,primary haze agriculture water
test_602,cloudy
test_603,clear primary
test_604,cloudy
test_605,primary partly_cloudy
test_606,clear primary road habitation agriculture
test_607,primary partly_cloudy
test_608,clear primary road habitation agriculture
test_609,primary haze
test_610,clear primary
test_611,clear primary water
test_612,clear primary
test_613,primary partly_cloudy
test_614,clear primary
test_615,clear primary cultivation water
test_616,clear primary
test_617,clear primary
test_618,clear primary
test_619,clear primary road habitation water
test_620,clear primary agriculture
test_621,clear primary
test_622,clear primary agriculture
test_623,clear primary
test_624,clear primary
test_625,clear primary
test_626,clear primary
test_627,clear primary
test_628,clear primary
test_629,clear primary
test_630,clear primary road habitation agriculture
test_631,primary water
test_632,cloudy
test_633,clear primary road water
test_634,clear primary road agriculture
test_635,clear primary
test_636,clear primary
test_637,clear primary
test_638,clear primary
test_639,clear primary agriculture
test_640,clear primary
test_641,clear primary road water
test_642,clear primary water
test_643,clear primary cultivation agriculture
test_644,clear primary
test_645,primary partly_cloudy
test_646,primary partly_cloudy
test_647,clear primary agriculture
test_648,clear primary road habitation agriculture
test_649,clear primary road agriculture
test_650,clear primary road agriculture
test_651,clear primary road agriculture
test_652,clear primary
test_653,clear primary agriculture partly_cloudy
test_654,cloudy
test_655,clear primary
test_656,clear primary
test_657,clear primary road habitation agriculture
test_658,clear primary water
test_659,clear primary
test_660,clear primary
test_661,clear primary
test_662,primary partly_cloudy
test_663,clear primary water
test_664,cloudy
test_665,clear primary
test_666,clear primary
test_667,clear primary
test_668,clear primary water
test_669,clear primary
test_670,primary partly_cloudy
test_671,clear primary road agriculture
test_672,clear primary
test_673,primary haze
test_674,primary partly_cloudy
test_675,primary haze
test_676,clear primary road agriculture
test_677,primary partly_cloudy
test_678,clear primary road agriculture
test_679,primary
test_680,clear primary road agriculture
test_681,clear primary
test_682,clear primary
test_683,primary partly_cloudy
test_684,clear primary
test_685,clear primary road agriculture water
test_686,clear primary
test_687,primary partly_cloudy
test_688,clear primary road agriculture
test_689,clear primary road agriculture
test_690,clear primary
test_691,primary partly_cloudy
test_692,primary haze
test_693,primary water partly_cloudy
test_694,clear primary agriculture
test_695,clear primary agriculture
test_696,clear primary water
test_697,primary partly_cloudy
test_698,clear primary water
test_699,clear primary road habitation agriculture
test_700,cloudy
test_701,clear primary road habitation agriculture
test_702,cloudy
test_703,clear primary water
test_704,clear primary
test_705,clear primary
test_706,clear primary
test_707,clear primary agriculture
test_708,clear primary
test_709,cloudy
test_710,clear primary
test_711,clear primary
test_712,primary partly_cloudy
test_713,clear primary
test_714,primary partly_cloudy
test_715,primary partly_cloudy
test_716,clear primary
test_717,clear primary
test_718,clear primary road agriculture
test_719,clear primary
test_720,clear primary water
test_721,clear primary
test_722,clear primary
test_723,primary road habitation agriculture partly_cloudy
test_724,clear primary road agriculture
test_725,clear primary road habitation agriculture
test_726,clear primary
test_727,primary road agriculture partly_cloudy
test_728,clear primary
test_729,primary agriculture partly_cloudy
test_730,primary partly_cloudy
test_731,clear primary
test_732,clear primary
test_733,clear primary
test_734,clear primary
test_735,clear primary road agriculture
test_736,clear primary road agriculture
test_737,clear primary water
test_738,clear primary road agriculture
test_739,clear primary agriculture
test_740,clear primary
test_741,primary water partly_cloudy
test_742,clear primary
test_743,clear primary
test_744,clear primary road habitation agriculture
test_745,clear primary
test_746,primary partly_cloudy
test_747,primary water
test_748,clear primary
test_749,primary partly_cloudy
test_750,clear primary road habitation agriculture
test_751,clear primary
test_752,primary partly_cloudy
test_753,clear primary
test_754,cloudy
test_755,primary haze
test_756,clear primary road habitation agriculture
test_757,clear primary
test_758,cloudy
test_759,primary partly_cloudy
test_760,clear primary
test_761,primary partly_cloudy
test_762,clear primary
test_763,primary water
test_764,clear primary road agriculture
test_765,clear primary
test_766,clear primary
test_767,clear primary habitation water
test_768,clear primary
test_769,
test_770,clear primary
test_771,clear primary
test_772,primary partly_cloudy
test_773,primary partly_cloudy
test_774,clear primary agriculture
test_775,clear primary agriculture water
test_776,clear primary
test_777,clear primary road habitation agriculture
test_778,clear primary road habitation agriculture
test_779,clear primary
test_780,clear primary
test_781,clear primary road habitation agriculture
test_782,primary partly_cloudy
test_783,cloudy
test_784,clear primary agriculture
test_785,primary partly_cloudy
test_786,clear primary
test_787,clear primary agriculture
test_788,cloudy
test_789,primary partly_cloudy
test_790,clear primary
test_791,clear primary
test_792,clear primary
test_793,primary partly_cloudy
test_794,clear primary agriculture water
test_795,clear primary artisinal_mine habitation water
test_796,clear primary
test_797,primary partly_cloudy
test_798,primary partly_cloudy
test_799,clear primary
test_800,clear primary
test_801,primary road agriculture partly_cloudy
test_802,clear primary road agriculture
test_803,clear primary agriculture
test_804,primary haze
test_805,clear primary
test_806,clear primary
test_807,clear primary road agriculture
test_808,clear primary
test_809,clear primary
test_810,primary agriculture partly_cloudy
test_811,clear primary
test_812,clear primary cultivation water
test_813,clear primary
test_814,clear primary water
test_815,clear primary
test_816,clear primary water
test_817,cloudy
test_818,clear primary road habitation
test_819,water
test_820,clear primary
test_821,clear primary road agriculture
test_822,clear primary
test_823,cloudy
test_824,clear primary
test_825,primary haze water
test_826,clear primary road agriculture water
test_827,clear primary
test_828,clear primary haze
test_829,clear primary
test_830,cloudy
test_831,clear primary
test_832,primary partly_cloudy
test_833,primary haze
test_834,clear primary
test_835,clear primary
test_836,clear primary
test_837,clear primary water
test_838,clear primary road habitation agriculture
test_839,clear primary
test_840,clear primary
test_841,clear primary water
test_842,clear primary
test_843,cloudy
test_844,primary road agriculture partly_cloudy
test_845,clear primary road agriculture
test_846,clear primary road habitation agriculture
test_847,clear primary
test_848,cloudy
test_849,cloudy
test_850,primary
test_851,clear primary
test_852,primary partly_cloudy
test_853,primary agriculture
test_854,clear primary agriculture
test_855,clear primary
test_856,clear primary agriculture
test_857,primary water partly_cloudy
test_858,primary haze
test_859,clear primary agriculture
test_860,clear primary
test_861,clear primary
test_862,clear primary
test_863,clear primary
test_864,clear primary
test_865,cloudy
test_866,primary partly_cloudy
test_867,cloudy
test_868,clear primary
test_869,clear primary
test_870,clear primary
test_871,primary partly_cloudy
test_872,clear primary water
test_873,clear primary
test_874,clear primary
test_875,primary partly_cloudy
test_876,clear primary
test_877,primary road habitation agriculture partly_cloudy
test_878,primary partly_cloudy
test_879,primary road agriculture
test_880,clear primary
test_881,clear primary water
test_882,clear primary
test_883,cloudy
test_884,clear primary
test_885,clear primary
test_886,primary haze agriculture water
test_887,primary road agriculture partly_cloudy
test_888,primary partly_cloudy
test_889,primary haze
test_890,clear primary
test_891,clear primary agriculture
test_892,primary partly_cloudy
test_893,primary agriculture partly_cloudy
test_894,clear primary road water
test_895,clear primary agriculture
test_896,primary partly_cloudy
test_897,primary
test_898,cloudy
test_899,clear primary road habitation agriculture
test_900,clear primary road agriculture
test_901,clear primary
test_902,primary haze
test_903,primary partly_cloudy
test_904,primary road agriculture partly_cloudy
test_905,clear primary
test_906,clear primary water
test_907,clear primary
test_908,clear primary
test_909,clear primary
test_910,cloudy
test_911,clear primary
test_912,clear primary cultivation agriculture
test_913,clear primary agriculture
test_914,water
test_915,clear primary
test_916,clear primary
test_917,primary haze
test_918,clear primary
test_919,primary haze
test_920,clear primary
test_921,cloudy
test_922,cloudy
test_923,clear primary agriculture water
test_924,primary partly_cloudy
test_925,cloudy
test_926,clear primary road habitation
test_927,clear primary
test_928,clear primary road water
test_929,primary partly_cloudy
test_930,clear primary road water
test_931,clear primary
test_932,clear primary
test_933,clear primary
test_934,primary partly_cloudy
test_935,clear primary
test_936,primary agriculture partly_cloudy
test_937,cloudy
test_938,clear primary
test_939,clear primary road
test_940,clear primary
test_941,clear primary road agriculture
test_942,clear primary road agriculture
test_943,primary partly_cloudy
test_944,cloudy partly_cloudy
test_945,clear primary
test_946,clear primary
test_947,primary partly_cloudy
test_948,clear primary
test_949,clear primary
test_950,primary partly_cloudy
test_951,clear primary road agriculture water
test_952,primary road agriculture partly_cloudy
test_953,clear primary road habitation agriculture
test_954,primary partly_cloudy
test_955,clear primary water
test_956,primary partly_cloudy
test_957,primary agriculture water partly_cloudy
test_958,primary haze agriculture
test_959,cloudy
test_960,primary partly_cloudy
test_961,primary partly_cloudy
test_962,clear primary
test_963,clear primary road agriculture
test_964,clear primary
test_965,clear primary
test_966,clear primary
test_967,clear primary
test_968,clear primary water
test_969,clear primary
test_970,clear primary
test_971,clear primary
test_972,clear primary
test_973,primary agriculture partly_cloudy
test_974,primary water
test_975,clear primary
test_976,clear primary cultivation agriculture
test_977,clear primary water
test_978,clear primary
test_979,primary partly_cloudy
test_980,clear primary water
test_981,clear primary
test_982,clear primary agriculture
test_983,clear primary
test_984,clear primary
test_985,primary road agriculture
test_986,clear primary
test_987,clear primary
test_988,clear primary
test_989,clear primary
test_990,primary haze
test_991,clear primary
test_992,clear primary
test_993,clear primary road habitation water
test_994,clear primary water
test_995,clear primary road water
test_996,clear primary
test_997,clear primary
test_998,primary haze
test_999,clear primary
test_1000,clear primary water
test_1001,clear primary
test_1002,clear primary
test_1003,clear primary artisinal_mine water
test_1004,clear primary
test_1005,clear primary
test_1006,clear primary
test_1007,clear primary
test_1008,primary partly_cloudy
test_1009,clear primary road agriculture
test_1010,cloudy
test_1011,clear primary
test_1012,clear primary
test_1013,primary partly_cloudy
test_1014,clear primary
test_1015,clear primary agriculture
test_1016,clear primary agriculture
test_1017,clear primary road agriculture water
test_1018,clear primary water
test_1019,primary road habitation agriculture partly_cloudy
test_1020,clear primary agriculture
test_1021,primary partly_cloudy
test_1022,cloudy
test_1023,water
test_1024,clear primary
test_1025,clear primary water
test_1026,primary water partly_cloudy
test_1027,clear primary agriculture
test_1028,primary road agriculture partly_cloudy
test_1029,primary water partly_cloudy
test_1030,clear primary agriculture
test_1031,clear primary
test_1032,primary
test_1033,primary partly_cloudy
test_1034,clear primary
test_1035,clear primary
test_1036,clear primary
test_1037,clear primary
test_1038,clear primary road agriculture
test_1039,cloudy
test_1040,clear primary
test_1041,primary partly_cloudy
test_1042,clear primary water
test_1043,primary cloudy
test_1044,primary agriculture
test_1045,clear primary
test_1046,clear primary agriculture
test_1047,clear primary water
test_1048,clear primary
test_1049,clear primary
test_1050,clear primary
test_1051,clear primary
test_1052,clear primary
test_1053,primary water
test_1054,primary partly_cloudy
test_1055,clear primary road habitation water
test_1056,primary haze
test_1057,clear primary road habitation agriculture
test_1058,clear primary agriculture
test_1059,primary
test_1060,clear primary road
test_1061,clear primary
test_1062,primary agriculture water partly_cloudy
test_1063,clear primary
test_1064,clear primary
test_1065,clear primary
test_1066,clear primary agriculture
test_1067,clear primary
test_1068,cloudy
test_1069,clear primary agriculture
test_1070,primary road agriculture
test_1071,clear primary road agriculture
test_1072,clear primary
test_1073,clear primary agriculture
test_1074,clear primary
test_1075,primary agriculture water partly_cloudy
test_1076,clear primary
test_1077,clear primary road water
test_1078,clear primary agriculture
test_1079,clear primary
test_1080,clear primary
test_1081,clear primary
test_1082,clear primary water
test_1083,clear primary road habitation agriculture
test_1084,clear primary
test_1085,clear primary
test_1086,clear primary agriculture
test_1087,clear primary water
test_1088,clear primary
test_1089,clear primary road habitation
test_1090,clear primary road water
test_1091,clear primary
test_1092,clear primary road agriculture water
test_1093,clear primary
test_1094,clear primary road habitation agriculture
test_1095,clear primary
test_1096,primary partly_cloudy
test_1097,primary agriculture partly_cloudy
test_1098,clear primary
test_1099,clear primary
test_1100,primary road agriculture
test_1101,clear primary cultivation agriculture
test_1102,clear primary cultivation agriculture
test_1103,clear primary water
test_1104,clear primary road agriculture water
test_1105,clear primary
test_1106,primary partly_cloudy
test_1107,clear primary road agriculture
test_1108,primary agriculture partly_cloudy
test_1109,clear
test_1110,clear primary water
test_1111,clear primary
test_1112,clear primary water
test_1113,clear primary water
test_1114,cloudy
test_1115,clear primary
test_1116,clear primary road agriculture
test_1117,primary partly_cloudy
test_1118,cloudy partly_cloudy
test_1119,clear primary road habitation agriculture
test_1120,clear primary
test_1121,clear primary
test_1122,clear primary road agriculture
test_1123,clear primary cultivation agriculture
test_1124,clear primary
test_1125,clear primary
test_1126,primary partly_cloudy
test_1127,clear primary road agriculture
test_1128,clear primary agriculture
test_1129,primary partly_cloudy
test_1130,clear primary
test_1131,primary
test_1132,cloudy
test_1133,clear primary
test_1134,clear primary road agriculture
test_1135,clear primary
test_1136,clear primary
test_1137,clear primary
test_1138,clear primary
test_1139,cloudy
test_1140,primary partly_cloudy
test_1141,primary partly_cloudy
test_1142,primary haze
test_1143,clear primary
test_1144,clear primary cultivation agriculture
test_1145,clear primary
test_1146,clear primary agriculture
test_1147,primary haze
test_1148,clear primary
test_1149,cloudy
test_1150,clear primary
test_1151,clear primary
test_1152,clear primary
test_1153,clear primary
test_1154,clear primary
test_1155,clear primary
test_1156,primary haze water
test_1157,primary partly_cloudy
test_1158,clear primary road agriculture
test_1159,primary
test_1160,clear primary
test_1161,cloudy
test_1162,primary road haze agriculture water
test_1163,clear primary road agriculture
test_1164,clear primary agriculture water
test_1165,clear primary road agriculture
test_1166,clear primary
test_1167,clear primary
test_1168,clear primary agriculture
test_1169,clear primary
test_1170,clear primary
test_1171,clear primary agriculture
test_1172,clear primary
test_1173,clear primary road agriculture
test_1174,clear primary road habitation
test_1175,primary partly_cloudy
test_1176,clear primary road agriculture
test_1177,cloudy
test_1178,clear primary
test_1179,clear primary
test_1180,clear primary road agriculture
test_1181,clear primary
test_1182,clear primary
test_1183,primary haze agriculture
test_1184,primary
test_1185,clear primary road agriculture partly_cloudy
test_1186,primary haze
test_1187,clear primary
test_1188,clear primary road agriculture
test_1189,clear primary
test_1190,primary partly_cloudy
test_1191,clear primary road habitation agriculture
test_1192,clear primary
test_1193,clear primary road
test_1194,clear primary
test_1195,clear primary road agriculture
test_1196,clear primary road habitation agriculture water
